Day of created_at_local,Id (Hist Views),id (hist_projects),project_id,username,action_view,created_at_local,Name (Hist Views),Name (Hist Workbooks),Site,Action,Created At,Day of the week,Number of Records,tz_offset_days
2022년 3월 10일,3566,4,4,5947,Access View,2022-03-10 오전 8:31:08,재해 현황,안전 현황,Default,Access View ,2022-03-09 오후 11:31:08,Thursday,1,0.375
2022년 3월 10일,3569,4,4,5947,Access View,2022-03-10 오전 8:39:39,현장/협력사별 재해 현황,안전 현황,Default,Access View ,2022-03-09 오후 11:39:39,Thursday,1,0.375
2022년 3월 10일,3566,4,4,5947,Access View,2022-03-10 오전 8:40:21,재해 현황,안전 현황,Default,Access View ,2022-03-09 오후 11:40:21,Thursday,1,0.375
2022년 3월 10일,3567,4,4,5947,Access View,2022-03-10 오전 8:43:32,재해 추이,안전 현황,Default,Access View ,2022-03-09 오후 11:43:32,Thursday,1,0.375
2022년 3월 10일,3568,4,4,5947,Access View,2022-03-10 오전 8:44:59,재해 유형,안전 현황,Default,Access View ,2022-03-09 오후 11:44:59,Thursday,1,0.375
2022년 3월 10일,3569,4,4,5947,Access View,2022-03-10 오전 8:45:27,현장/협력사별 재해 현황,안전 현황,Default,Access View ,2022-03-09 오후 11:45:27,Thursday,1,0.375
2022년 3월 10일,3567,4,4,5947,Access View,2022-03-10 오전 8:47:52,재해 추이,안전 현황,Default,Access View ,2022-03-09 오후 11:47:52,Thursday,1,0.375
2022년 3월 10일,3568,4,4,5947,Access View,2022-03-10 오전 8:48:04,재해 유형,안전 현황,Default,Access View ,2022-03-09 오후 11:48:04,Thursday,1,0.375
2022년 3월 10일,3566,4,4,5947,Access View,2022-03-10 오전 8:48:13,재해 현황,안전 현황,Default,Access View ,2022-03-09 오후 11:48:13,Thursday,1,0.375
2022년 3월 10일,3569,4,4,5947,Access View,2022-03-10 오전 8:48:14,현장/협력사별 재해 현황,안전 현황,Default,Access View ,2022-03-09 오후 11:48:14,Thursday,1,0.375
2022년 3월 10일,3566,4,4,5947,Access View,2022-03-10 오전 9:06:25,재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 12:06:25,Thursday,1,0.375
2022년 3월 10일,3567,4,4,5947,Access View,2022-03-10 오전 9:33:52,재해 추이,안전 현황,Default,Access View ,2022-03-10 오전 12:33:52,Thursday,1,0.375
2022년 3월 10일,3568,4,4,5947,Access View,2022-03-10 오전 9:33:58,재해 유형,안전 현황,Default,Access View ,2022-03-10 오전 12:33:58,Thursday,1,0.375
2022년 3월 10일,3566,4,4,5947,Access View,2022-03-10 오전 9:37:37,재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 12:37:37,Thursday,1,0.375
2022년 3월 10일,3569,4,4,5947,Access View,2022-03-10 오전 9:38:29,현장/협력사별 재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 12:38:29,Thursday,1,0.375
