name (hist_projects),id (hist_projects),project_id,Id (Hist Views),username,action_view,created_at_local,Name (Hist Views),Name (Hist Workbooks),Site,Action,Created At,Number of Records,tz_offset_days
기본값,3,1,152,admin,Access View,2021-09-16 오전 8:26:02,주요 재무 현황 및 지표,주요 재무 현황 및 지표,Default,Access View ,2021-09-15 오후 11:26:02,1,0.375
기본값,3,1,305,admin,Access View,2021-09-16 오전 8:26:13,자금,재무현황,Default,Access View ,2021-09-15 오후 11:26:13,1,0.375
기본값,3,1,26,admin,Access View,2021-09-16 오전 8:26:34,인력운영 정보,현산_인사,Default,Access View ,2021-09-15 오후 11:26:34,1,0.375
기본값,3,1,304,admin,Access View,2021-09-16 오전 9:40:40,카드,재무현황,Default,Access View ,2021-09-16 오전 12:40:40,1,0.375
기본값,3,1,305,admin,Access View,2021-09-16 오전 9:40:48,자금,재무현황,Default,Access View ,2021-09-16 오전 12:40:48,1,0.375
기본값,3,1,305,admin,Access View,2021-09-16 오전 10:10:35,자금,재무현황,Default,Access View ,2021-09-16 오전 1:10:35,1,0.375
EIS,4,4,325,admin,Access View,2021-09-16 오전 10:15:20,퇴사사유_txt,HR_인사통계_개발_0915,Default,Access View ,2021-09-16 오전 1:15:20,1,0.375
EIS,4,4,321,admin,Access View,2021-09-16 오전 10:15:33,HR추이(월별),HR_인사통계_개발_0915,Default,Access View ,2021-09-16 오전 1:15:33,1,0.375
기본값,3,1,305,admin,Access View,2021-09-16 오후 1:28:34,자금,재무현황,Default,Access View ,2021-09-16 오전 4:28:34,1,0.375
EIS,4,4,333,admin,Access View,2021-09-16 오후 1:30:33,HR 현황,HR_인사통계_개발_0915,Default,Access View ,2021-09-16 오전 4:30:33,1,0.375
EIS,4,4,310,admin,Access View,2021-09-16 오후 2:17:32,수주/공급 현황,"수주, 공급, 판매",Default,Access View ,2021-09-16 오전 5:17:32,1,0.375
EIS,4,4,311,admin,Access View,2021-09-16 오후 2:26:22,수주/공급/분양,"수주, 공급, 판매",Default,Access View ,2021-09-16 오전 5:26:22,1,0.375
EIS,4,4,333,admin,Access View,2021-09-16 오후 2:26:41,HR 현황,HR_인사통계_개발_0915,Default,Access View ,2021-09-16 오전 5:26:41,1,0.375
EIS,4,4,311,admin,Access View,2021-09-16 오후 2:27:18,수주/공급/분양,"수주, 공급, 판매",Default,Access View ,2021-09-16 오전 5:27:18,1,0.375
EIS,4,4,350,admin,Access View,2021-09-16 오후 2:45:53,카드,"수주, 공급, 판매test",Default,Access View ,2021-09-16 오전 5:45:53,1,0.375
EIS,4,4,354,admin,Access View,2021-09-16 오후 2:45:58,수주/공급 현황,"수주, 공급, 판매test",Default,Access View ,2021-09-16 오전 5:45:58,1,0.375
EIS,4,4,355,admin,Access View,2021-09-16 오후 2:46:05,수주/공급/분양,"수주, 공급, 판매test",Default,Access View ,2021-09-16 오전 5:46:05,1,0.375
EIS,4,4,313,admin,Access View,2021-09-16 오후 2:46:20,자금,재무현황,Default,Access View ,2021-09-16 오전 5:46:20,1,0.375
EIS,4,4,355,admin,Access View,2021-09-16 오후 2:47:07,수주/공급/분양,"수주, 공급, 판매test",Default,Access View ,2021-09-16 오전 5:47:07,1,0.375
EIS,4,4,354,admin,Access View,2021-09-16 오후 2:47:13,수주/공급 현황,"수주, 공급, 판매test",Default,Access View ,2021-09-16 오전 5:47:13,1,0.375
EIS,4,4,368,admin,Access View,2021-09-16 오후 2:49:15,자금,재무현황00,Default,Access View ,2021-09-16 오전 5:49:15,1,0.375
EIS,4,4,311,admin,Access View,2021-09-16 오후 2:59:49,수주/공급/분양,"수주, 공급, 판매",Default,Access View ,2021-09-16 오전 5:59:49,1,0.375
EIS,4,4,374,admin,Access View,2021-09-16 오후 4:30:14,카드,"수주,공급 현황(210916)",Default,Access View ,2021-09-16 오전 7:30:14,1,0.375
