 item_id,image_url,inpainting_image_url,item_org_id,xmin,ymin,xmax,ymax,ori_content,tr_content
5047,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230628_1380_1_LJFJO4W3GS19NZFRRCSH_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230629_1380_5047_LJH0YOSGYBFNFJ2OWBMO.jpg,92166,1437,186,1465,286,"肉","고기"
5047,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230628_1380_1_LJFJO4W3GS19NZFRRCSH_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230629_1380_5047_LJH0YOSGYBFNFJ2OWBMO.jpg,92169,1329,46,1359,153,"豚カシラ","돼지머리 고기"
5047,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230628_1380_1_LJFJO4W3GS19NZFRRCSH_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230629_1380_5047_LJH0YOSGYBFNFJ2OWBMO.jpg,92174,1174,44,1204,326,"豚トロ","항정살"
5047,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230628_1380_1_LJFJO4W3GS19NZFRRCSH_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230629_1380_5047_LJH0YOSGYBFNFJ2OWBMO.jpg,92175,1142,45,1177,187,"豚ハツモト","돼지 윗염통"
5047,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230628_1380_1_LJFJO4W3GS19NZFRRCSH_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230629_1380_5047_LJH0YOSGYBFNFJ2OWBMO.jpg,92177,1084,44,1116,267,"鹿児島産豚カルビ","가고시마산 돼지갈비"
5047,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230628_1380_1_LJFJO4W3GS19NZFRRCSH_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230629_1380_5047_LJH0YOSGYBFNFJ2OWBMO.jpg,92178,1049,46,1085,182,"マルチョウ","소 소장"
5047,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230628_1380_1_LJFJO4W3GS19NZFRRCSH_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230629_1380_5047_LJH0YOSGYBFNFJ2OWBMO.jpg,92179,1021,44,1055,257,"シマチョウ","시마쵸(대창)"
5047,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230628_1380_1_LJFJO4W3GS19NZFRRCSH_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230629_1380_5047_LJH0YOSGYBFNFJ2OWBMO.jpg,92180,1056,186,1071,276,"脂がうまい","지방이 고소해요"
5047,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230628_1380_1_LJFJO4W3GS19NZFRRCSH_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230629_1380_5047_LJH0YOSGYBFNFJ2OWBMO.jpg,92181,991,45,1027,258,"テッチャン","텟창 (대창)"
5047,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230628_1380_1_LJFJO4W3GS19NZFRRCSH_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230629_1380_5047_LJH0YOSGYBFNFJ2OWBMO.jpg,92182,956,45,994,254,"中落ちカルビ","나카오치 갈비"
5047,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230628_1380_1_LJFJO4W3GS19NZFRRCSH_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230629_1380_5047_LJH0YOSGYBFNFJ2OWBMO.jpg,92183,927,46,956,155,"牛カルビ","소갈비"
5047,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230628_1380_1_LJFJO4W3GS19NZFRRCSH_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230629_1380_5047_LJH0YOSGYBFNFJ2OWBMO.jpg,92184,896,45,930,258,"牛ハラミ","소 안창살"
5047,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230628_1380_1_LJFJO4W3GS19NZFRRCSH_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230629_1380_5047_LJH0YOSGYBFNFJ2OWBMO.jpg,92185,863,45,896,158,"牛タン塩","소금 우설 구이"
5047,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230628_1380_1_LJFJO4W3GS19NZFRRCSH_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230629_1380_5047_LJH0YOSGYBFNFJ2OWBMO.jpg,92196,660,60,690,305,"豚ミックスホルモン","모둠 돼지 곱창"
5047,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230628_1380_1_LJFJO4W3GS19NZFRRCSH_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230629_1380_5047_LJH0YOSGYBFNFJ2OWBMO.jpg,92197,625,57,664,304,"牛ミックスホルモン","모둠 소 곱창"
5047,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230628_1380_1_LJFJO4W3GS19NZFRRCSH_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230629_1380_5047_LJH0YOSGYBFNFJ2OWBMO.jpg,92201,468,62,504,185,"逸品","추가메뉴"
5047,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230628_1380_1_LJFJO4W3GS19NZFRRCSH_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230629_1380_5047_LJH0YOSGYBFNFJ2OWBMO.jpg,92202,433,55,466,282,"にんにくスライス","마늘 슬라이스"
5047,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230628_1380_1_LJFJO4W3GS19NZFRRCSH_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230629_1380_5047_LJH0YOSGYBFNFJ2OWBMO.jpg,92203,398,57,433,232,"青唐スライス","풋고추 슬라이스"
5047,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230628_1380_1_LJFJO4W3GS19NZFRRCSH_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230629_1380_5047_LJH0YOSGYBFNFJ2OWBMO.jpg,92204,369,60,400,171,"豆もやし","콩나물"
5047,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230628_1380_1_LJFJO4W3GS19NZFRRCSH_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230629_1380_5047_LJH0YOSGYBFNFJ2OWBMO.jpg,92219,1433,724,1479,1029,"当店のもつ刺しは低温調理を施し、厚生労働省の
規格基準を満たした安心安全なもつ刺しです。","저희 가게의 곱창 사시미는 저온으로 조리하였으며 후생노동성의 표준 기준을 충족하였습니다. 안심하고 드실 수 있습니다."
5047,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230628_1380_1_LJFJO4W3GS19NZFRRCSH_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230629_1380_5047_LJH0YOSGYBFNFJ2OWBMO.jpg,92220,1315,1030,1470,1052,"表示価格は全て税込価格です。","모든 메뉴는 세금이 포함된 가격으로 표시되어 있습니다."
