 item_id,image_url,inpainting_image_url,item_org_id,xmin,ymin,xmax,ymax,ori_content,tr_content
4575,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230522_1292_1_LHY76AOUOCSKMBMTWRYR_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230522_1292_4575_LHY9OJS84BFLFWPM5SJV.jpg,84085,593,1731,938,1770,"콜키지는 병 당 만원 입니다.","Corkage is 10,000 won per bottle."
4575,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230522_1292_1_LHY76AOUOCSKMBMTWRYR_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230522_1292_4575_LHY9OJS84BFLFWPM5SJV.jpg,84061,225,345,495,398,"제주 흑돼지 오믈렛","Jeju black pork omelet"
4575,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230522_1292_1_LHY76AOUOCSKMBMTWRYR_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230522_1292_4575_LHY9OJS84BFLFWPM5SJV.jpg,84062,128,404,717,447,"흑돼지 김치볶음밥,24시간 숙성한 계란, 쉬림프 소스","Black pork kimchi fried rice, 24-hour aged eggs, shrimp sauce"
4575,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230522_1292_1_LHY76AOUOCSKMBMTWRYR_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230522_1292_4575_LHY9OJS84BFLFWPM5SJV.jpg,84063,221,500,451,551,"매콤크림파스타","Spicy Cream Pasta"
4575,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230522_1292_1_LHY76AOUOCSKMBMTWRYR_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230522_1292_4575_LHY9OJS84BFLFWPM5SJV.jpg,84064,130,552,721,600,"매콤 크림 소스, 팽이버섯, 마늘쫑, 양송이, 새우, 베이컨","Spicy cream sauce, enoki mushrooms, garlic wraps, button mushrooms, shrimp, bacon"
4575,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230522_1292_1_LHY76AOUOCSKMBMTWRYR_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230522_1292_4575_LHY9OJS84BFLFWPM5SJV.jpg,84065,224,648,532,698,"고사리 봉골레 파스타","Bracken vongole pasta"
4575,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230522_1292_1_LHY76AOUOCSKMBMTWRYR_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230522_1292_4575_LHY9OJS84BFLFWPM5SJV.jpg,84066,128,701,485,748,"고사리,생합,깻잎, 갈릭오일, 새우","Bracken, raw fish, sesame leaves, garlic oil, shrimp"
4575,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230522_1292_1_LHY76AOUOCSKMBMTWRYR_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230522_1292_4575_LHY9OJS84BFLFWPM5SJV.jpg,84067,224,789,495,842,"살찐 고등어 파스타","Fat mackerel pasta"
4575,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230522_1292_1_LHY76AOUOCSKMBMTWRYR_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230522_1292_4575_LHY9OJS84BFLFWPM5SJV.jpg,84068,128,841,614,889,"고등어와 마농오일 꽈리고추의 시원한 파스타","Cool pasta with mackerel, manon oil and chili peppers"
4575,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230522_1292_1_LHY76AOUOCSKMBMTWRYR_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230522_1292_4575_LHY9OJS84BFLFWPM5SJV.jpg,84069,228,931,484,988,"흑돼지 가츠산도","Black pork Cutlet Sandwich"
4575,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230522_1292_1_LHY76AOUOCSKMBMTWRYR_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230522_1292_4575_LHY9OJS84BFLFWPM5SJV.jpg,84070,131,990,792,1037,"다시마소금을 사용하여 숙성된 등심을 이용한 일본식 샌드위치","Japanese sandwich with matured sirloin using kelp salt"
4575,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230522_1292_1_LHY76AOUOCSKMBMTWRYR_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230522_1292_4575_LHY9OJS84BFLFWPM5SJV.jpg,84071,816,347,1097,396,"수비드 흑돼지 등심","Subid. Sirloin"
4575,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230522_1292_1_LHY76AOUOCSKMBMTWRYR_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230522_1292_4575_LHY9OJS84BFLFWPM5SJV.jpg,84072,819,403,1320,446,"수비드 등심, 비가라드 소스, 꽈리고추,가지","Subid sirloin, bigarard sauce, chili, eggplant"
4575,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230522_1292_1_LHY76AOUOCSKMBMTWRYR_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230522_1292_4575_LHY9OJS84BFLFWPM5SJV.jpg,84073,817,485,1027,537,"한우 스테이크","Korean Beef Steak"
4575,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230522_1292_1_LHY76AOUOCSKMBMTWRYR_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230522_1292_4575_LHY9OJS84BFLFWPM5SJV.jpg,84074,817,540,1323,589,"한우 채끝살, 한라봉 지미추리소스, 감자콩피","Korean beef chop, Hallabong, Jimmy Churi sauce, potato bean curd"
4575,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230522_1292_1_LHY76AOUOCSKMBMTWRYR_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230522_1292_4575_LHY9OJS84BFLFWPM5SJV.jpg,84075,820,619,1189,666,"크리스피 오겹살 스테이크","crispy pork belly steak"
4575,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230522_1292_1_LHY76AOUOCSKMBMTWRYR_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230522_1292_4575_LHY9OJS84BFLFWPM5SJV.jpg,84076,819,674,1231,714,"오겹살, 비가라드 소스,깻잎페스토","Pork belly, bigard sauce, sesame leaf pesto"
4575,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230522_1292_1_LHY76AOUOCSKMBMTWRYR_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230522_1292_4575_LHY9OJS84BFLFWPM5SJV.jpg,84077,816,745,1097,801,"둘레길 바질 파스타","Dullegil basil pasta"
4575,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230522_1292_1_LHY76AOUOCSKMBMTWRYR_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230522_1292_4575_LHY9OJS84BFLFWPM5SJV.jpg,84078,820,806,1213,843,"바질페스토, 양파,새우,마농오일","Basil pesto, onion, shrimp, manon oil"
4575,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230522_1292_1_LHY76AOUOCSKMBMTWRYR_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230522_1292_4575_LHY9OJS84BFLFWPM5SJV.jpg,84079,920,874,1183,929,"갈치속젓 리소토","Salted cutlassfish risotto"
4575,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230522_1292_1_LHY76AOUOCSKMBMTWRYR_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230522_1292_4575_LHY9OJS84BFLFWPM5SJV.jpg,84080,815,931,1399,984,"고등어 백반에서 영감을 얻은 둘레길만의 속젓 리소토","Dulle-gil's stir-fried risotto inspired by mackerel baekban"
4575,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230522_1292_1_LHY76AOUOCSKMBMTWRYR_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230522_1292_4575_LHY9OJS84BFLFWPM5SJV.jpg,84081,215,1498,1348,1577,"로컬 푸드 (제주 식재료와 전통 시장을 적극 활용하여 주변에서 다양하게 접할 수 있는 음식을
조금 더 특색있고 합리적인 가격으로 제공 드리고자합니다.","Local food (Jeju food ingredients and traditional markets are actively utilized to create a variety of foods that can be enjoyed around the world
We would like to provide you with a more distinctive and reasonable price."
4575,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230522_1292_1_LHY76AOUOCSKMBMTWRYR_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230522_1292_4575_LHY9OJS84BFLFWPM5SJV.jpg,84082,280,1579,1284,1616,"예약을 통해 제철 식재료와 제주의 특색있는 식재료로 코스요리를 선보이고 있습니다.","We are offering course dishes with seasonal ingredients and Jeju's unique ingredients through reservations."
4575,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230522_1292_1_LHY76AOUOCSKMBMTWRYR_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230522_1292_4575_LHY9OJS84BFLFWPM5SJV.jpg,84083,440,1629,1105,1681,"(음식 알러지 있으신분은 미리 서버에게 말씀해주세요)","(If you are allergic to food, please tell the server in advance)"
4575,https://d2reotjpatzlok.cloudfront.net/qr-place/thumbnails/item/QR_20230522_1292_1_LHY76AOUOCSKMBMTWRYR_9x_M.jpg,https://d2reotjpatzlok.cloudfront.net/qr-place/inpainting/QR_20230522_1292_4575_LHY9OJS84BFLFWPM5SJV.jpg,84084,614,1698,910,1733,"1인1메뉴 지향합니다.","One menu per person would be appreciated"
